id	group
PMED4_10621_mRNA	mRNA
ureC_mRNA	mRNA
rpsU_mRNA	mRNA
PMED4_11181_mRNA	mRNA
PMED4_11211_mRNA	mRNA
purT_mRNA	mRNA
btuE_mRNA	mRNA
PMED4_11351_mRNA	mRNA
PMED4_11871_mRNA	mRNA
chlI_mRNA	mRNA
trxA_mRNA	mRNA
guaB_mRNA	mRNA
gyrA_mRNA	mRNA
ispA_mRNA	mRNA
PMED4_12191_mRNA	mRNA
zwf_mRNA	mRNA
PMED4_12251_mRNA	mRNA
prsA_mRNA	mRNA
cad_mRNA	mRNA
psbP_mRNA	mRNA
srmB_mRNA	mRNA
pdxJ_mRNA	mRNA
PMED4_12571_mRNA	mRNA
PMED4_12591_mRNA	mRNA
pntB_mRNA	mRNA
pntA_mRNA	mRNA
PMED4_13161_mRNA	mRNA
psbD_mRNA	mRNA
psbC_mRNA	mRNA
glyQ_mRNA	mRNA
PMED4_13301_mRNA	mRNA
PMED4_13311_mRNA	mRNA
isiB_mRNA	mRNA
sppA_mRNA	mRNA
PMED4_13501_mRNA	mRNA
PMED4_13521_mRNA	mRNA
rpsN_mRNA	mRNA
pnp_mRNA	mRNA
PMED4_13651_mRNA	mRNA
PMED4_13771_mRNA	mRNA
PMED4_13781_mRNA	mRNA
gmhA_mRNA	mRNA
rfaE_mRNA	mRNA
PMED4_13961_mRNA	mRNA
PMED4_13971_mRNA	mRNA
adhC_mRNA	mRNA
PMED4_14001_mRNA	mRNA
PMED4_14011_mRNA	mRNA
hetA_mRNA	mRNA
PMED4_14111_mRNA	mRNA
PMED4_14121_mRNA	mRNA
PMED4_14241_mRNA	mRNA
argF_mRNA	mRNA
PMED4_14301_mRNA	mRNA
pheS_mRNA	mRNA
phoH_mRNA	mRNA
ffh_mRNA	mRNA
PMED4_14531_mRNA	mRNA
trpC_mRNA	mRNA
lpd_mRNA	mRNA
ftsZ_mRNA	mRNA
panB_mRNA	mRNA
PMED4_14801_mRNA	mRNA
PMED4_14811_mRNA	mRNA
ilvC_mRNA	mRNA
himA_mRNA	mRNA
PMED4_14941_mRNA	mRNA
PMED4_14981_mRNA	mRNA
pepB_mRNA	mRNA
lpxA_mRNA	mRNA
fabZ_mRNA	mRNA
PMED4_15061_mRNA	mRNA
nblS_mRNA	mRNA
rpmA_mRNA	mRNA
PMED4_15181_mRNA	mRNA
serA_mRNA	mRNA
PMED4_16171_mRNA	mRNA
pyrR_mRNA	mRNA
groEL_mRNA	mRNA
groES_mRNA	mRNA
atpD_mRNA	mRNA
atpC_e_mRNA	mRNA
atpA_mRNA	mRNA
atpH_mRNA	mRNA
atpG_mRNA	mRNA
atpE_mRNA	mRNA
glnB_mRNA	mRNA
BioA_mRNA	mRNA
PMED4_16891_mRNA	mRNA
rpoC2_mRNA	mRNA
rpoB_mRNA	mRNA
rpsT_mRNA	mRNA
nusA_mRNA	mRNA
PMED4_17101_mRNA	mRNA
rne_mRNA	mRNA
rpsJ_mRNA	mRNA
fusA_mRNA	mRNA
rpsL_mRNA	mRNA
gltB_mRNA	mRNA
psaL_mRNA	mRNA
psaB_mRNA	mRNA
psaA_mRNA	mRNA
rplQ_mRNA	mRNA
rpoA_mRNA	mRNA
rpsK_mRNA	mRNA
rpsM_mRNA	mRNA
adk_mRNA	mRNA
rplO_mRNA	mRNA
rpsE_mRNA	mRNA
rplF_mRNA	mRNA
rpsH_mRNA	mRNA
rplE_mRNA	mRNA
rpsQ_mRNA	mRNA
rplP_mRNA	mRNA
rplV_mRNA	mRNA
rpsS_mRNA	mRNA
rplB_mRNA	mRNA
rplC_mRNA	mRNA
recA_mRNA	mRNA
PMED4_17781_mRNA	mRNA
rnd_mRNA	mRNA
icd_mRNA	mRNA
glgP_mRNA	mRNA
psaC_mRNA	mRNA
acpP_mRNA	mRNA
tktA_mRNA	mRNA
thiC_mRNA	mRNA
lysS_mRNA	mRNA
PMED4_18291_mRNA	mRNA
mreB_mRNA	mRNA
ssb_mRNA	mRNA
sam1_mRNA	mRNA
mgtE_mRNA	mRNA
gyrB_mRNA	mRNA
secA_mRNA	mRNA
PMED4_18601_mRNA	mRNA
PMED4_18621_mRNA	mRNA
asd_mRNA	mRNA
tig_mRNA	mRNA
clpP2_mRNA	mRNA
clpX_mRNA	mRNA
rplT_mRNA	mRNA
sqdB_mRNA	mRNA
dnaB_mRNA	mRNA
aspS_mRNA	mRNA
aroE_mRNA	mRNA
argG_mRNA	mRNA
uvrA_mRNA	mRNA
